Informações Básicas,123
Descrição da necessidade,555
Área Requisitante,Maiara eu te amo
Descrição dos Requisitos da Contratação,trwetert
Levantamento de Mercado,Deus é muitissímo grande
Descrição da solução como um todo,Não Constar Informação
Justificativa para o Parcelamento ou não da Solução,Não Constar Informação
Contratações Correlatas e/ou Interdependentes,Não Constar Informação
Alinhamento entre a Contratação e o Planejamento,Não Constar Informação
Benefícios a serem alcançados com a contratação,Não Constar Informação
Providências a serem adotadas,Não Constar Informação
Possíveis Impactos Ambientais,Não Constar Informação
Declaração de Viabilidade,Penutima Deus é fiel
Responsáveis,Não há Deus como nosso Deus
