Informações Básicas,Não Constar Informação
Descrição da necessidade,Não Constar Informação
Descrição dos Requisitos da Contratação,Não Constar Informação
Levantamento de Mercado,Não Constar Informação
Descrição da solução como um todo,45645gfhgfh
Estimativa das Quantidades a serem contratadas,Não Constar Informação
Estimativa do Valor da Contratação,Não Constar Informação
Justificativa para o Parcelamento ou não da Solução,Não Constar Informação
Contratações Correlatas e/ou Interdependentes,Não Constar Informação
Alinhamento entre a Contratação e o Planejamento,Não Constar Informação
Responsáveis,gfhgfhdfgh
